Bottle,Price,Rating,Region,apple,banana,cherry,citrus,fruity,lemon,orange,pear,raisins,zest,balanced,complex,dry,earthy,heavy,light,lingering,mellow,mild,old,smooth,barley,buttery,butterscotch,candy,chocolate,cinnamon,cocoa,corn,honey,tea,toffee,clove,coffee,floral,licorice,malty,mint,nutmeg,peaty,peppery,roses,spices,sugar,tobacco,vanilla,wood,sherry,bitter,brine,creamy,ginger,herbal,maple,nutty,oak,rich,salty,smokey,sour,spicy,sweet,amber,brown,green,caramel,pal
Balvenie Tun 1401 Batch #5,250.0,95.42857142857143,Speyside,,2.0,2.0,2.0,,,,,2.0,,,5.0,4.0,,,,,,,3.0,,,,,,3.0,5.0,1.0,,2.0,,2.0,,,,,,1.0,,,,,,2.0,,2.0,,2.0,,,2.0,,,2.0,,5.0,5.0,,,,,2.0,,,4.0,,
Basil Hayden,24.173333333333332,81.1,Bourbon,,1.0,,3.0,2.0,,2.0,,,,,,,2.0,2.0,2.0,,5.0,,2.0,,,,,,,2.0,,4.0,,,,,,,1.0,,,1.0,,4.0,2.0,2.0,1.0,,3.0,,,,,,,,,3.0,9.0,5.0,,,,4.0,3.0,2.0,,,7.0,
BenRiach 10 Curiositas,21.665000000000003,86.46666666666667,Speyside,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BenRiach 12,57.0,82.53846153846153,Speyside,2.0,,,,3.0,,,2.0,,,,,,,,6.0,,,,,,,,1.0,,,,,,3.0,1.0,,,,,,4.0,,,,,,,,,5.0,,,,,,7.0,,,,,1.0,,,,,,,,4.0,,
BenRiach 12 Importanticus Fumosus,,86.0,Speyside,,,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,4.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,2.0,,,3.0,,,,,
BenRiach 12 Sherry Matured,35.355000000000004,84.5,Speyside,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,1.0,,,,,2.0,,,,3.0,
BenRiach 16,72.5,84.42857142857143,Speyside,3.0,2.0,,,3.0,1.0,2.0,,7.0,,3.0,,11.0,,,12.0,,,,3.0,,,,,2.0,2.0,8.0,,,4.0,2.0,,,,4.0,,,,2.0,,,,,1.0,,1.0,12.0,7.0,12.0,,,,4.0,2.0,,,2.0,,,,,8.0,,,2.0,,
BenRiach 17 Solstice,100.4,90.41666666666667,Speyside,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,4.0,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,2.0,,,,,
BenRiach 21 Authenticus Peated,137.5,88.85714285714286,Speyside,,,,,2.0,1.0,,,,,1.0,,5.0,,,3.0,2.0,,,,1.0,1.0,,1.0,,,1.0,,,3.0,,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,4.0,2.0,,,,,,1.0,,5.0,,,,3.0,,5.0,1.0,2.0,2.0,1.0,
Benrinnes 14 AD Rattray Sherry Cask,96.5,93.71428571428571,Speyside,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,5.0,2.0,,,,,,,,,,2.0,,,,,,1.0,,,,,10.0,,,,,,,,3.0,,,,,,2.0,,2.0,,,
Benrinnes 14 Lady of the Glen 1999,69.0,94.375,Speyside,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,2.0,4.0,,,,1.0,
Benrinnes 15 DARKNESS! Oloroso,87.66666666666667,90.16666666666667,Speyside,9.0,,,,2.0,12.0,6.0,2.0,,,2.0,3.0,,,,,,,,3.0,,,,,,,2.0,1.0,2.0,2.0,,,,2.0,8.0,,,1.0,1.0,,2.0,,,2.0,,5.0,,18.0,2.0,,,7.0,,,,3.0,,,,,,1.0,,,,2.0,
Benrinnes 15 DARKNESS! Pedro Ximenez,90.5,91.125,Speyside,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,2.0,,,,2.0,
Benrinnes 23,205.33333333333334,93.84615384615384,Speyside,2.0,2.0,,,,,,,1.0,,,2.0,3.0,,,,,,,2.0,3.0,,2.0,,,5.0,,,,,,2.0,,,,,,,,,,,2.0,,1.0,,,4.0,,,,,,,,1.0,3.0,,,,,4.0,,,,2.0,
Benromach 10,39.52235294117647,84.73529411764706,Speyside,,2.0,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,5.0,,1.0,,,,,,1.0,,,,,1.0,2.0,,,,,
Benromach 10 100 Proof,69.0,90.5,Speyside,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,4.0,,,,,,,,,,1.0,
Benromach Traditional,36.0,79.83333333333333,Speyside,,,,1.0,2.0,,,,1.0,,1.0,,,,,2.0,1.0,2.0,,,,,,,,1.0,,,,1.0,,1.0,,,4.0,,,,,2.0,,,,1.0,,2.0,,6.0,,,,,,,,,,,1.0,,,6.0,,2.0,,,
